pattern_id,intensity,linewidth_nm,shape,defect_type
1,0.8839667494728913,40,Circle,nanoparticle
2,0.7484598573624716,52,T-shape,bridge
3,0.7578186042232578,50,Circle,bridge
4,0.7827739657238652,38,Square,bridge
5,0.8464553294821069,47,Square,open
6,1.0,42,Square,open
7,0.7171236549416536,34,Circle,missing_resist
8,0.945277831654595,54,Line,none
9,0.7217757914889718,46,T-shape,missing_resist
10,0.5832599424576866,42,T-shape,missing_resist
11,0.6002842925113351,34,T-shape,open
12,0.7731723144449801,48,L-shape,missing_resist
13,0.7917968222292102,48,Circle,none
14,0.671463684421164,31,Square,bridge
15,0.8177829934746441,51,L-shape,open
16,0.8020357451482064,49,T-shape,none
17,0.7089674999366051,51,Square,missing_resist
18,0.768974020508709,31,T-shape,open
19,0.8033294871736414,43,Circle,nanoparticle
20,0.739394938326543,34,L-shape,bridge
21,0.8302036188615913,49,L-shape,none
22,0.9735188188520767,48,L-shape,missing_resist
23,0.7663815018579762,46,T-shape,missing_resist
24,0.75237179165537,30,L-shape,none
25,0.6828861374021541,40,Square,missing_resist
26,0.6777077580482239,31,Line,open
27,0.7023392354877854,40,Square,nanoparticle
28,0.6756978057339726,35,Square,open
29,0.711255473386988,36,L-shape,bridge
30,0.7404305521858798,50,Circle,none
31,0.6176037491257805,46,Line,missing_resist
32,0.8079413667659783,48,Circle,missing_resist
33,0.6443612509624016,48,Line,missing_resist
34,0.7574455503386507,48,Square,bridge
35,0.7183150320215541,49,Square,missing_resist
36,0.6889536851183882,35,L-shape,nanoparticle
37,0.6728633342059643,44,Line,nanoparticle
38,0.8164245056849301,35,Circle,nanoparticle
39,0.6308830720382199,35,Line,missing_resist
40,0.7520173966888752,30,Line,nanoparticle
41,0.7082182685083711,45,Square,missing_resist
42,0.8493348111582211,47,L-shape,open
43,0.8184608903159122,48,Circle,bridge
44,0.6623971127812698,48,T-shape,open
45,0.7638925141422507,41,Square,nanoparticle
46,0.7118389217294869,54,Circle,bridge
47,0.5719206512450264,41,Line,open
48,0.755135809778245,42,Circle,open
49,0.715241318569344,53,T-shape,missing_resist
50,0.6844021000195188,35,Square,missing_resist
51,0.6687748227737399,34,Circle,bridge
52,0.8931346046604172,41,Square,missing_resist
53,0.7707798171337344,38,Square,none
54,0.9732352747960401,50,Line,nanoparticle
55,0.8276578691544356,31,Square,missing_resist
56,0.7185515093691818,48,L-shape,nanoparticle
57,0.6397965973500668,42,T-shape,missing_resist
58,0.8339362998325546,44,T-shape,none
59,0.6717306540003305,49,T-shape,missing_resist
60,0.8587851335486681,51,L-shape,open
61,0.652597822490422,43,Square,open
62,0.8274646368035014,38,Circle,open
63,0.7490852528135019,35,T-shape,missing_resist
64,0.7403751899340238,32,Line,bridge
65,0.836602348943479,39,Circle,missing_resist
66,0.791537166018421,47,Circle,missing_resist
67,0.8631901777894367,41,Circle,open
68,0.8698826429155581,34,L-shape,nanoparticle
69,0.6466858693530668,48,L-shape,bridge
70,0.7935185282393775,40,T-shape,nanoparticle
71,0.7695226412613498,37,T-shape,bridge
